PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AR,11-9199,"Managers, All Other","5,640","101,120","48,860","61,910","84,610","124,220","166,040"
AR,13-0000,Business and Financial Operations Occupations,"67,500","75,550","36,940","47,400","64,020","91,990","130,250"
AR,13-1020,Buyers and Purchasing Agents,"4,350","82,630","39,920","51,810","72,550","103,140","132,030"
AR,13-1031,"Claims Adjusters, Examiners, and Investigators","2,600","73,920","46,080","55,860","75,030","85,890","104,330"
AR,13-1041,Compliance Officers,"2,850","73,340","42,220","48,850","63,560","83,780","124,840"
AR,13-1051,Cost Estimators,"1,370","71,230","41,420","49,630","62,870","83,710","106,310"
AR,13-1071,Human Resources Specialists,"5,660","61,630","35,510","43,100","52,890","72,850","99,910"
AR,13-1075,Labor Relations Specialists,200,"68,000","31,200","43,840","53,450","80,500","117,150"
AR,13-1081,Logisticians,"1,620","79,680","49,000","60,940","73,710","97,000","117,560"
AR,13-1082,Project Management Specialists,"7,030","92,490","46,320","60,060","81,970","119,180","156,120"
AR,13-1111,Management Analysts,"4,530","80,610","37,370","48,980","72,550","101,280","131,910"
AR,13-1121,"Meeting, Convention, and Event Planners",580,"56,430","35,490","41,290","51,670","63,190","85,860"
AR,13-1131,Fundraisers,410,"53,790","22,880","38,670","46,670","64,380","85,590"
AR,13-1141,"Compensation, Benefits, and Job Analysis Specialists",510,"64,490","39,040","44,200","54,800","69,200","103,800"
AR,13-1151,Training and Development Specialists,"3,650","56,500","27,360","33,690","48,330","74,660","92,020"
AR,13-1161,Market Research Analysts and Marketing Specialists,"6,420","75,160","30,410","47,180","64,830","97,880","132,500"
AR,13-1199,"Business Operations Specialists, All Other","8,760","73,090","36,980","44,950","60,610","85,550","132,350"
AR,13-2011,Accountants and Auditors,"7,710","75,720","41,670","50,300","64,180","89,170","118,730"
AR,13-2020,Property Appraisers and Assessors,900,"59,220","28,250","37,700","46,590","63,070","102,980"
AR,13-2031,Budget Analysts,260,"66,450","39,870","46,320","64,320","81,420","95,640"
AR,13-2041,Credit Analysts,290,"72,580","43,800","52,560","64,910","85,680","118,940"
AR,13-2051,Financial and Investment Analysts,"1,360","84,440","45,860","59,900","78,840","103,480","133,370"
AR,13-2052,Personal Financial Advisors,"1,250","116,990","34,050","47,570","75,150","125,360",#
AR,13-2053,Insurance Underwriters,300,"66,730","40,140","49,270","63,690","80,710","98,050"
AR,13-2054,Financial Risk Specialists,140,"86,920","47,300","55,260","77,540","108,990","136,420"
AR,13-2061,Financial Examiners,350,"78,970","45,000","49,940","72,530","98,540","124,610"
AR,13-2071,Credit Counselors,60,"44,940","30,850","35,360","40,410","56,680","65,960"
AR,13-2072,Loan Officers,"2,810","83,550","38,290","49,600","70,050","105,140","132,760"
AR,13-2081,"Tax Examiners and Collectors, and Revenue Agents",400,"59,870","32,410","38,270","55,700","72,810","87,230"
AR,13-2082,Tax Preparers,670,"44,060","27,810","28,900","36,070","44,010","77,020"
AR,13-2099,"Financial Specialists, All Other",420,"63,110","32,780","36,360","46,380","73,510","94,310"
AR,15-0000,Computer and Mathematical Occupations,"26,340","85,370","38,730","55,030","80,450","103,720","132,640"
AR,15-1211,Computer Systems Analysts,"3,600","70,300","28,660","42,750","72,540","91,250","105,950"
AR,15-1212,Information Security Analysts,"1,010","96,080","57,660","66,800","93,560","125,550","130,960"
AR,15-1231,Computer Network Support Specialists,"1,280","64,910","42,290","47,450","58,790","77,570","97,950"
AR,15-1232,Computer User Support Specialists,"4,010","51,890","34,050","39,390","47,720","60,730","74,810"
AR,15-1241,Computer Network Architects,960,"121,150","75,690","85,500","109,900","144,710","167,950"
AR,15-1242,Database Administrators,600,"82,780","38,150","49,530","79,710","101,850","145,410"
AR,15-1243,Database Architects,330,"109,380","64,420","82,490","101,000","127,880","164,140"
AR,15-1244,Network and Computer Systems Administrators,"1,690","83,670","48,630","60,130","79,040","103,960","127,270"
AR,15-1251,Computer Programmers,"1,140","107,330","61,650","66,920","100,670","132,840","162,090"
AR,15-1252,Software Developers,"6,390","100,380","55,030","77,550","96,820","119,770","160,700"
AR,15-1254,Web Developers,430,"51,660","31,090","39,980","43,530","61,200","79,660"
AR,15-1255,Web and Digital Interface Designers,470,"76,980","34,340","45,860","57,020","134,730","137,180"
AR,15-1299,"Computer Occupations, All Other",800,"81,550","40,960","50,690","77,830","110,360","131,060"
AR,15-2031,Operations Research Analysts,140,"75,670","48,720","54,720","75,650","89,870","98,200"
AR,15-2051,Data Scientists,470,"104,560","57,830","82,370","104,320","125,390","164,120"
AR,17-0000,Architecture and Engineering Occupations,"12,850","81,320","44,520","59,440","77,150","99,760","126,930"
AR,17-1011,"Architects, Except Landscape and Naval",870,"87,140","61,980","71,360","84,310","94,990","120,370"
AR,17-1012,Landscape Architects,110,"87,230","43,000","54,490","84,260","119,520","149,990"
AR,17-1022,Surveyors,520,"58,720","29,940","43,500","57,260","68,550","92,080"
AR,17-2011,Aerospace Engineers,130,"101,650","68,330","70,390","103,900","124,250","153,570"
