PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AL,00-0000,All Occupations,"2,091,480","55,350","23,520","30,660","43,830","64,110","98,810"
AL,11-0000,Management Occupations,"110,240","118,670","51,100","72,870","100,640","142,480","203,900"
AL,11-1011,Chief Executives,830,"207,190","104,950","130,950","164,400","221,910",#
AL,11-1021,General and Operations Managers,"32,370","134,790","50,410","74,720","106,330","162,780",#
AL,11-1031,Legislators,"1,120","36,570","18,270","20,950","26,990","41,760","63,900"
AL,11-2011,Advertising and Promotions Managers,50,"130,180","83,570","86,500","133,570","144,710","150,670"
AL,11-2021,Marketing Managers,"1,660","130,660","65,360","83,940","112,960","163,580","219,000"
AL,11-2022,Sales Managers,"4,380","136,950","66,100","83,790","108,740","163,390",#
AL,11-2032,Public Relations Managers,410,"113,280","52,670","76,540","93,040","128,770","184,330"
AL,11-2033,Fundraising Managers,210,"108,350","55,350","60,260","85,600","110,650","194,180"
AL,11-3012,Administrative Services Managers,660,"107,710","34,740","47,350","97,960","134,200","173,430"
AL,11-3013,Facilities Managers,950,"124,750","79,590","92,870","119,330","143,480","174,650"
AL,11-3021,Computer and Information Systems Managers,"6,480","142,610","78,740","103,040","133,500","171,680","212,280"
AL,11-3031,Financial Managers,"6,390","153,650","84,440","105,000","138,040","179,950",#
AL,11-3051,Industrial Production Managers,"3,610","124,580","69,540","88,290","115,470","153,200","195,780"
AL,11-3061,Purchasing Managers,"1,400","129,810","75,830","94,140","127,680","156,290","196,090"
AL,11-3071,"Transportation, Storage, and Distribution Managers","1,180","111,980","58,610","73,410","102,540","134,680","180,740"
AL,11-3111,Compensation and Benefits Managers,110,"119,030","80,920","86,730","110,450","134,180","179,940"
AL,11-3121,Human Resources Managers,"1,990","121,520","66,810","82,620","110,030","146,810","180,380"
AL,11-3131,Training and Development Managers,110,"122,220","77,980","91,260","113,010","146,160","175,580"
AL,11-9021,Construction Managers,"7,520","101,320","57,050","73,430","92,620","122,990","161,010"
AL,11-9031,"Education and Childcare Administrators, Preschool and Daycare",780,"45,640","29,060","34,270","41,150","56,750","61,470"
AL,11-9032,"Education Administrators, Kindergarten through Secondary",**,"94,040","72,690","81,280","96,380","103,200","121,300"
AL,11-9033,"Education Administrators, Postsecondary","3,540","121,850","62,490","77,870","99,290","139,860","220,390"
AL,11-9039,"Education Administrators, All Other",**,"82,830","37,050","51,640","82,410","104,770","124,810"
AL,11-9041,Architectural and Engineering Managers,"3,480","160,920","102,590","129,120","157,520","185,820","222,160"
AL,11-9051,Food Service Managers,"5,090","63,650","40,120","52,290","59,920","73,500","86,720"
AL,11-9072,"Entertainment and Recreation Managers, Except Gambling",50,"64,750","27,870","33,290","69,330","79,350","100,870"
AL,11-9081,Lodging Managers,500,"76,650","46,080","57,270","78,430","90,210","103,840"
AL,11-9111,Medical and Health Services Managers,"9,320","101,790","63,010","77,160","92,950","108,200","148,770"
AL,11-9121,Natural Sciences Managers,280,"127,650","84,360","99,560","127,210","144,800","166,520"
AL,11-9131,Postmasters and Mail Superintendents,280,"94,210","84,680","87,150","92,120","99,470","107,970"
AL,11-9141,"Property, Real Estate, and Community Association Managers","3,460","63,870","37,050","46,040","56,190","73,120","102,680"
AL,11-9151,Social and Community Service Managers,"2,150","72,760","42,510","52,480","65,160","88,880","106,370"
AL,11-9161,Emergency Management Directors,230,"78,230","39,300","47,360","65,570","91,260","136,830"
AL,11-9171,Funeral Home Managers,400,"72,210","41,420","49,380","65,020","86,040","101,440"
AL,11-9199,"Managers, All Other","2,370","123,710","60,280","83,340","116,830","152,480","186,850"
AL,13-0000,Business and Financial Operations Occupations,"108,720","82,220","43,390","53,990","73,390","99,580","130,840"
AL,13-1020,Buyers and Purchasing Agents,"8,720","77,450","41,530","53,990","68,210","96,060","122,970"
AL,13-1031,"Claims Adjusters, Examiners, and Investigators","4,430","76,630","46,980","58,450","80,060","94,800","103,720"
AL,13-1041,Compliance Officers,"3,400","74,930","38,840","51,130","70,190","92,340","118,820"
AL,13-1051,Cost Estimators,"2,460","74,390","43,090","52,020","68,030","89,050","118,640"
AL,13-1071,Human Resources Specialists,"11,200","69,880","41,000","48,890","62,770","82,990","105,500"
AL,13-1075,Labor Relations Specialists,510,"56,650","19,130","22,560","56,360","77,390","102,440"
AL,13-1081,Logisticians,"5,790","95,880","57,020","70,620","95,030","119,090","138,650"
AL,13-1082,Project Management Specialists,"2,590","108,600","62,270","80,270","97,840","128,890","167,580"
AL,13-1111,Management Analysts,"4,980","111,280","61,200","79,150","102,480","129,020","165,190"
AL,13-1121,"Meeting, Convention, and Event Planners","1,170","54,960","35,810","40,890","48,590","63,070","85,050"
AL,13-1131,Fundraisers,"1,020","59,880","38,910","45,470","55,920","68,330","88,100"
AL,13-1141,"Compensation, Benefits, and Job Analysis Specialists","1,060","66,570","48,910","50,970","56,720","75,360","96,460"
AL,13-1151,Training and Development Specialists,"2,750","71,650","39,890","49,720","65,520","84,250","107,530"
AL,13-1161,Market Research Analysts and Marketing Specialists,"8,780","66,840","33,790","44,660","55,390","79,030","114,110"
AL,13-1199,"Business Operations Specialists, All Other","6,990","103,960","59,950","75,670","98,070","127,070","160,380"
AL,13-2011,Accountants and Auditors,"25,420","80,760","48,600","58,000","71,070","93,520","123,410"
AL,13-2020,Property Appraisers and Assessors,540,"61,630","29,490","39,440","53,050","82,960","96,710"
AL,13-2031,Budget Analysts,940,"99,700","56,080","73,350","98,080","121,780","139,800"
AL,13-2041,Credit Analysts,310,"103,280","53,160","72,740","101,050","121,500","167,640"
AL,13-2051,Financial and Investment Analysts,"2,780","107,880","60,160","75,280","94,660","128,020","159,850"
AL,13-2052,Personal Financial Advisors,"2,320","129,240","35,710","58,560","79,600","127,830",#
AL,13-2053,Insurance Underwriters,"1,050","71,820","39,500","52,870","63,760","80,670","105,500"
AL,13-2054,Financial Risk Specialists,140,"92,240","46,790","60,800","82,900","105,880","166,540"
AL,13-2061,Financial Examiners,690,"83,680","39,920","51,520","80,870","105,150","132,610"
AL,13-2071,Credit Counselors,**,"49,960","38,940","40,760","48,040","56,290","72,580"
AL,13-2072,Loan Officers,"5,680","78,300","39,990","47,200","60,750","93,990","147,110"
AL,13-2081,"Tax Examiners and Collectors, and Revenue Agents","1,180","59,050","32,080","38,890","52,470","72,830","100,640"
AL,13-2082,Tax Preparers,550,"34,250","29,130","29,900","33,490","35,280","44,810"
AL,13-2099,"Financial Specialists, All Other",660,"81,090","25,380","49,460","78,370","104,330","135,430"
AL,15-0000,Computer and Mathematical Occupations,"57,260","101,140","48,130","67,120","98,000","128,420","162,470"
AL,15-1211,Computer Systems Analysts,"6,830","112,430","65,690","81,130","103,730","132,670","165,490"
AL,15-1212,Information Security Analysts,"3,290","112,800","61,020","79,870","111,110","138,270","165,120"
AL,15-1221,Computer and Information Research Scientists,540,"109,020","56,360","69,680","108,180","133,640","159,140"
AL,15-1231,Computer Network Support Specialists,"1,020","64,680","40,130","44,440","58,740","76,450","98,530"
AL,15-1232,Computer User Support Specialists,"7,430","51,960","33,800","40,360","48,860","60,940","74,170"
AL,15-1241,Computer Network Architects,"3,610","126,770","77,100","99,090","128,210","152,340","175,810"
AL,15-1242,Database Administrators,"1,990","92,930","56,610","72,170","88,560","113,890","132,170"
AL,15-1243,Database Architects,310,"117,510","74,410","89,210","111,330","134,580","174,490"
AL,15-1244,Network and Computer Systems Administrators,"4,980","86,770","51,820","64,890","81,060","102,860","129,670"
AL,15-1251,Computer Programmers,"1,360","90,900","49,950","65,100","87,230","110,500","134,330"
AL,15-1252,Software Developers,"18,020","117,380","63,670","82,610","113,020","141,140","176,060"
AL,15-1253,Software Quality Assurance Analysts and Testers,"1,910","103,760","63,810","79,860","99,520","127,570","153,360"
AL,15-1254,Web Developers,790,"69,990","38,520","48,490","62,990","89,360","105,480"
AL,15-1255,Web and Digital Interface Designers,130,"60,520","35,340","43,590","49,770","66,220","95,830"
AL,15-1299,"Computer Occupations, All Other","2,450","102,650","56,380","78,170","104,330","125,430","144,000"
AL,15-2011,Actuaries,**,"133,320","80,280","132,110","143,230","143,230","143,230"
AL,15-2031,Operations Research Analysts,500,"118,370","62,340","90,420","117,540","146,890","171,790"
AL,15-2041,Statisticians,200,"76,870","49,260","57,580","67,490","87,480","112,120"
AL,15-2051,Data Scientists,"1,620","102,970","61,810","76,180","105,410","128,250","147,980"
AL,17-0000,Architecture and Engineering Occupations,"50,130","105,480","52,250","74,270","98,480","132,170","169,750"
AL,17-1011,"Architects, Except Landscape and Naval","1,270","104,560","60,380","73,030","94,170","122,840","164,810"
AL,17-1012,Landscape Architects,230,"87,500","61,150","65,800","76,590","95,850","156,000"
AL,17-1021,Cartographers and Photogrammetrists,30,"76,180","43,750","52,250","70,110","91,890","116,830"
AL,17-1022,Surveyors,830,"70,510","44,140","49,930","63,700","85,920","102,290"
AL,17-2011,Aerospace Engineers,"5,570","136,210","80,040","99,690","133,080","170,090","198,840"
AL,17-2041,Chemical Engineers,540,"116,130","72,750","84,450","103,620","135,770","191,400"
AL,17-2051,Civil Engineers,"5,920","104,270","64,640","75,950","98,100","125,890","162,160"
AL,17-2061,Computer Hardware Engineers,800,"133,770","79,480","101,230","136,660","159,090","187,030"
AL,17-2071,Electrical Engineers,"4,470","122,950","72,060","86,510","115,870","144,970","179,040"
AL,17-2072,"Electronics Engineers, Except Computer","1,780","117,680","70,000","87,300","108,240","143,440","179,260"
AL,17-2081,Environmental Engineers,660,"103,760","66,560","81,760","100,060","120,450","145,490"
AL,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",550,"112,470","72,550","91,750","106,130","131,320","163,770"
AL,17-2112,Industrial Engineers,"8,040","102,170","65,580","80,090","99,120","119,890","145,060"
AL,17-2131,Materials Engineers,660,"112,300","66,920","85,070","110,150","135,000","164,530"
AL,17-2141,Mechanical Engineers,"5,480","106,090","65,530","79,370","97,550","128,850","159,030"
AL,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",80,"100,700","67,650","88,590","101,480","106,210","131,880"
AL,17-2161,Nuclear Engineers,270,"136,480","98,950","113,150","144,410","156,170","176,150"
AL,17-2171,Petroleum Engineers,140,*,*,*,*,*,*
AL,17-2199,"Engineers, All Other","3,370","143,060","86,630","112,870","146,480","179,360","191,880"
AL,17-3011,Architectural and Civil Drafters,"1,350","56,390","37,360","47,080","56,030","63,120","75,410"
AL,17-3012,Electrical and Electronics Drafters,290,"60,540","36,390","43,890","53,490","74,650","93,540"
AL,17-3013,Mechanical Drafters,590,"59,220","34,080","43,540","49,580","74,640","89,680"
AL,17-3021,Aerospace Engineering and Operations Technologists and Technicians,210,"73,940","44,200","59,740","69,590","91,940","107,110"
AL,17-3022,Civil Engineering Technologists and Technicians,"1,570","54,030","33,210","41,560","51,720","64,220","76,940"
AL,17-3023,Electrical and Electronic Engineering Technologists and Technicians,"1,950","79,950","48,430","59,530","78,520","100,290","120,040"
AL,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,70,"68,020","42,770","47,630","68,910","82,860","99,730"
AL,17-3025,Environmental Engineering Technologists and Technicians,**,"63,470","38,330","45,720","67,030","74,700","79,630"
AL,17-3026,Industrial Engineering Technologists and Technicians,830,"64,140","44,730","49,160","59,860","75,100","92,080"
AL,17-3027,Mechanical Engineering Technologists and Technicians,350,"66,190","41,850","46,730","61,220","77,880","102,620"
AL,17-3028,Calibration Technologists and Technicians,50,"50,580","36,830","37,260","40,310","50,880","91,740"
AL,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",540,"81,540","42,870","61,150","81,060","98,550","121,080"
AL,17-3031,Surveying and Mapping Technicians,"1,210","51,690","32,900","38,180","46,260","63,120","80,570"
AL,19-0000,"Life, Physical, and Social Science Occupations","12,740","77,430","41,450","52,350","68,810","93,430","125,440"
AL,19-1012,Food Scientists and Technologists,50,"93,030","56,520","80,330","99,170","108,550","112,660"
AL,19-1013,Soil and Plant Scientists,90,"78,900","48,460","50,650","69,200","92,150","125,700"
AL,19-1021,Biochemists and Biophysicists,100,"71,960","40,960","44,860","57,720","74,960","156,830"
AL,19-1022,Microbiologists,90,"65,500","37,600","41,470","55,600","74,660","95,790"
AL,19-1023,Zoologists and Wildlife Biologists,310,"66,520","44,810","49,260","64,860","74,600","91,260"
AL,19-1029,"Biological Scientists, All Other",250,"82,580","49,000","61,670","80,230","98,590","111,510"
AL,19-1031,Conservation Scientists,110,"82,270","52,670","62,520","76,270","101,440","113,030"
AL,19-1032,Foresters,300,"69,870","51,720","56,670","71,070","81,370","84,650"
AL,19-1041,Epidemiologists,60,"72,130","45,750","59,630","72,830","82,620","100,820"
AL,19-1042,"Medical Scientists, Except Epidemiologists","1,460","76,800","47,970","54,430","65,750","83,230","119,020"
AL,19-1099,"Life Scientists, All Other",50,"107,210","78,540","86,780","107,050","122,840","138,940"
AL,19-2012,Physicists,360,"130,730","69,320","91,260","114,690","164,060","222,590"
AL,19-2021,Atmospheric and Space Scientists,230,"87,450","44,150","52,360","84,720","102,940","143,500"
AL,19-2031,Chemists,630,"100,510","58,900","71,420","96,000","126,570","156,100"
AL,19-2041,"Environmental Scientists and Specialists, Including Health",920,"76,210","40,450","54,280","74,660","89,570","118,500"
AL,19-2042,"Geoscientists, Except Hydrologists and Geographers",140,"82,110","51,720","59,330","80,310","99,520","124,090"
AL,19-2043,Hydrologists,30,"90,830","61,600","65,230","86,750","107,850","132,200"
AL,19-2099,"Physical Scientists, All Other",150,"130,920","63,120","104,330","131,560","154,770","186,850"
AL,19-3011,Economists,40,"114,850","59,950","83,810","103,400","136,200","161,110"
AL,19-3033,Clinical and Counseling Psychologists,360,"110,180","55,600","63,690","100,320","128,550","173,410"
AL,19-3034,School Psychologists,320,"72,130","62,700","67,440","71,660","75,310","81,000"
AL,19-3039,"Psychologists, All Other",100,"126,770","66,630","114,670","134,370","150,010","159,620"
AL,19-3051,Urban and Regional Planners,560,"71,750","40,350","49,860","64,880","84,650","115,110"
AL,19-3091,Anthropologists and Archeologists,210,"69,400","51,220","61,220","68,760","77,990","82,740"
AL,19-3093,Historians,60,"75,880","43,100","51,040","71,070","87,780","120,640"
AL,19-3099,"Social Scientists and Related Workers, All Other",320,"103,540","72,550","80,540","95,640","121,870","143,370"
AL,19-4012,Agricultural Technicians,40,"34,120","31,200","31,520","32,390","33,830","36,630"
AL,19-4021,Biological Technicians,300,"46,080","32,410","36,700","45,880","54,280","64,360"
AL,19-4031,Chemical Technicians,"1,180","56,840","35,630","42,450","52,680","69,350","82,010"
AL,19-4042,"Environmental Science and Protection Technicians, Including Health",340,"47,580","34,930","35,690","45,890","57,200","68,810"
AL,19-4043,"Geological Technicians, Except Hydrologic Technicians",40,"40,970","29,100","37,880","40,050","43,330","43,330"
AL,19-4051,Nuclear Technicians,170,"111,210","64,630","95,880","107,680","126,890","126,890"
AL,19-4071,Forest and Conservation Technicians,180,"55,300","37,600","48,130","54,310","62,670","74,420"
AL,19-4092,Forensic Science Technicians,160,"61,120","38,910","46,890","59,560","71,070","82,620"
AL,19-4099,"Life, Physical, and Social Science Technicians, All Other",250,"57,510","37,350","40,450","53,910","69,950","79,230"
AL,19-5011,Occupational Health and Safety Specialists,"2,100","78,620","44,110","58,110","75,440","97,640","113,550"
AL,19-5012,Occupational Health and Safety Technicians,480,"57,640","37,170","44,990","52,510","65,560","89,480"
AL,21-0000,Community and Social Service Occupations,"22,690","52,680","31,380","38,910","49,260","63,230","77,310"
AL,21-1012,"Educational, Guidance, and Career Counselors and Advisors","4,510","61,330","38,110","47,240","60,530","74,080","87,340"
AL,21-1013,Marriage and Family Therapists,200,"55,260","37,820","43,690","54,280","63,660","79,920"
AL,21-1015,Rehabilitation Counselors,460,"54,300","32,190","38,910","54,320","67,650","74,660"
AL,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","3,340","52,120","35,940","40,480","48,880","58,540","73,050"
AL,21-1019,"Counselors, All Other",50,"44,400","24,730","31,910","31,910","49,230","91,470"
AL,21-1021,"Child, Family, and School Social Workers","4,430","50,430","36,640","40,450","46,890","59,310","67,950"
AL,21-1022,Healthcare Social Workers,"2,640","57,050","38,750","45,950","58,000","65,780","74,480"
AL,21-1023,Mental Health and Substance Abuse Social Workers,670,"44,670","29,200","31,910","42,100","55,000","63,070"
AL,21-1029,"Social Workers, All Other",450,"85,850","47,620","77,050","89,170","101,130","110,090"
AL,21-1091,Health Education Specialists,620,"58,930","36,310","43,000","53,110","71,660","91,220"
AL,21-1092,Probation Officers and Correctional Treatment Specialists,960,"58,670","40,450","48,040","58,390","67,650","78,540"
AL,21-1093,Social and Human Service Assistants,"3,260","35,090","21,990","28,490","34,040","39,580","46,890"
AL,21-1094,Community Health Workers,190,"47,430","33,580","40,590","43,950","51,720","62,880"
AL,21-1099,"Community and Social Service Specialists, All Other",70,"30,770","20,040","21,530","24,340","33,120","48,950"
AL,21-2011,Clergy,720,"52,440","30,070","42,360","50,050","57,510","75,210"
AL,21-2021,"Directors, Religious Activities and Education",110,"64,830","31,360","50,190","65,190","72,540","122,870"
AL,23-0000,Legal Occupations,"12,640","93,270","36,690","46,200","66,560","126,360","187,550"
AL,23-1011,Lawyers,"5,810","139,470","61,190","84,670","127,660","175,040","217,010"
AL,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",80,"152,420","71,070","110,300","149,760","203,990","203,990"
AL,23-1022,"Arbitrators, Mediators, and Conciliators",40,"75,490","45,610","49,660","82,160","84,650","122,840"
AL,23-1023,"Judges, Magistrate Judges, and Magistrates",610,"71,280","35,740","39,740","50,950","84,780","140,630"
AL,23-2011,Paralegals and Legal Assistants,"5,480","49,800","30,300","37,250","46,060","60,510","73,300"
AL,23-2093,"Title Examiners, Abstractors, and Searchers",380,"54,980","38,440","47,170","49,440","61,780","74,270"
AL,23-2099,"Legal Support Workers, All Other",230,"67,930","43,270","49,460","56,080","67,580","103,460"
AL,25-0000,Educational Instruction and Library Occupations,"110,470","52,120","22,160","28,720","50,200","62,630","76,810"
AL,25-1011,"Business Teachers, Postsecondary","1,290","96,490","44,010","60,330","81,040","119,540","168,050"
AL,25-1021,"Computer Science Teachers, Postsecondary",500,"99,330","54,740","63,430","88,440","123,290","161,180"
AL,25-1022,"Mathematical Science Teachers, Postsecondary",960,"70,760","45,920","54,350","65,480","79,990","95,820"
AL,25-1032,"Engineering Teachers, Postsecondary",730,"109,740","62,500","81,550","103,210","132,810","171,360"
AL,25-1041,"Agricultural Sciences Teachers, Postsecondary",250,"78,930","45,590","56,990","77,030","95,980","121,080"
AL,25-1042,"Biological Science Teachers, Postsecondary","1,170","89,720","51,150","61,040","77,940","101,530","155,400"
AL,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",70,"79,950","51,850","58,670","77,360","95,830","120,750"
AL,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",100,"85,280","51,020","64,100","79,540","97,280","134,050"
AL,25-1052,"Chemistry Teachers, Postsecondary",300,"86,880","51,970","61,170","77,200","103,340","133,740"
AL,25-1054,"Physics Teachers, Postsecondary",190,"88,410","53,810","65,250","84,160","102,690","129,230"
AL,25-1061,"Anthropology and Archeology Teachers, Postsecondary",50,"78,540","62,360","63,580","77,770","87,330","101,250"
AL,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",80,"74,660","55,320","55,320","67,060","80,830","109,780"
AL,25-1063,"Economics Teachers, Postsecondary",150,"130,060","66,090","74,320","116,190","137,400","231,610"
AL,25-1065,"Political Science Teachers, Postsecondary",150,"82,280","50,640","60,320","79,340","96,930","125,790"
AL,25-1066,"Psychology Teachers, Postsecondary",550,"81,200","51,830","62,590","76,300","84,440","124,090"
AL,25-1067,"Sociology Teachers, Postsecondary",160,"66,940","40,330","51,360","60,840","78,170","95,620"
AL,25-1071,"Health Specialties Teachers, Postsecondary","3,000","99,650","40,330","51,400","82,810","136,600","174,780"
AL,25-1072,"Nursing Instructors and Teachers, Postsecondary","1,370","82,490","49,890","63,340","77,270","97,090","110,360"
AL,25-1081,"Education Teachers, Postsecondary",920,"68,990","44,860","48,000","65,670","82,750","98,140"
AL,25-1082,"Library Science Teachers, Postsecondary",150,"73,460","52,060","63,500","73,250","81,970","94,490"
AL,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",170,"68,850","44,470","61,380","64,020","82,050","102,080"
AL,25-1112,"Law Teachers, Postsecondary",70,"148,160","83,130","83,130","139,880","177,330","230,660"
AL,25-1113,"Social Work Teachers, Postsecondary",300,"79,860","53,500","63,670","81,800","81,800","106,690"
AL,25-1121,"Art, Drama, and Music Teachers, Postsecondary",940,"67,900","49,400","55,450","64,060","75,700","84,160"
AL,25-1122,"Communications Teachers, Postsecondary",280,"66,270","44,480","51,630","61,990","76,280","92,030"
AL,25-1123,"English Language and Literature Teachers, Postsecondary","1,250","66,000","46,160","54,240","61,990","80,010","89,170"
AL,25-1124,"Foreign Language and Literature Teachers, Postsecondary",120,"67,480","48,890","55,890","65,810","78,070","87,860"
AL,25-1125,"History Teachers, Postsecondary",390,"64,800","44,810","45,460","61,000","79,230","89,100"
AL,25-1126,"Philosophy and Religion Teachers, Postsecondary",210,"63,710","40,670","46,210","58,660","79,200","95,810"
AL,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",150,"68,700","50,080","51,930","66,270","81,100","96,840"
AL,25-1194,"Career/Technical Education Teachers, Postsecondary","1,850","57,890","37,360","47,790","57,730","63,820","80,210"
AL,25-1199,"Postsecondary Teachers, All Other",210,"67,060","43,090","46,610","51,030","81,620","102,240"
AL,25-2011,"Preschool Teachers, Except Special Education","6,610","30,920","19,590","22,760","27,630","31,160","56,470"
AL,25-2012,"Kindergarten Teachers, Except Special Education",490,"50,490","35,370","39,720","48,750","60,040","65,930"
AL,25-2021,"Elementary School Teachers, Except Special Education","16,910","56,220","45,510","48,470","59,850","62,410","70,920"
AL,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","10,950","57,750","46,490","47,760","59,900","62,160","71,010"
AL,25-2023,"Career/Technical Education Teachers, Middle School",710,"53,890","33,590","44,110","48,000","58,970","90,800"
AL,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","16,480","58,850","46,480","49,170","60,530","62,940","72,940"
AL,25-2032,"Career/Technical Education Teachers, Secondary School",120,"76,810","51,080","64,230","85,400","85,400","92,400"
AL,25-2052,"Special Education Teachers, Kindergarten and Elementary School",660,"60,250","48,520","51,650","61,100","65,640","74,030"
AL,25-2057,"Special Education Teachers, Middle School",730,"58,320","46,270","51,010","60,760","62,850","70,730"
AL,25-2058,"Special Education Teachers, Secondary School",680,"59,840","48,870","53,930","60,100","64,670","71,630"
AL,25-2059,"Special Education Teachers, All Other",130,"49,330","21,610","34,840","36,070","74,810","85,430"
AL,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",480,"46,820","31,310","38,790","48,790","55,980","58,150"
AL,25-3021,Self-Enrichment Teachers,"2,400","40,430","20,770","27,200","37,200","50,730","63,890"
AL,25-3031,"Substitute Teachers, Short-Term",**,"24,710","18,770","22,300","24,320","28,590","28,810"
AL,25-3041,Tutors,990,"34,930","22,270","29,360","31,160","39,030","43,360"
AL,25-3099,"Teachers and Instructors, All Other","1,950","64,900","31,300","46,970","63,350","78,670","95,010"
AL,25-4011,Archivists,80,"63,170","39,470","48,040","58,390","79,790","89,860"
AL,25-4012,Curators,170,"63,820","38,530","45,480","58,390","76,440","99,470"
AL,25-4013,Museum Technicians and Conservators,160,"45,000","22,880","26,900","41,420","60,520","75,730"
AL,25-4022,Librarians and Media Collections Specialists,"3,260","58,510","30,680","48,460","62,240","69,990","75,660"
AL,25-4031,Library Technicians,510,"35,930","28,650","29,920","32,910","38,570","47,500"
AL,25-9021,Farm and Home Management Educators,260,"62,280","45,650","48,360","60,060","77,200","81,360"
AL,25-9031,Instructional Coordinators,"2,020","74,630","43,580","50,660","65,880","95,790","118,500"
AL,25-9044,"Teaching Assistants, Postsecondary",**,"23,700","17,070","17,790","21,750","27,980","35,050"
AL,25-9045,"Teaching Assistants, Except Postsecondary","10,000","24,140","18,670","21,530","22,790","26,780","28,780"
AL,25-9099,"Educational Instruction and Library Workers, All Other",240,"46,640","29,060","33,920","38,340","55,040","81,060"
AL,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","18,080","57,030","27,410","34,710","46,780","66,770","93,770"
AL,27-1011,Art Directors,170,"81,740","50,450","62,170","77,140","97,640","123,910"
AL,27-1012,Craft Artists,100,"35,870","23,270","31,620","35,090","41,930","44,180"
AL,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",40,"47,000","26,200","33,820","52,270","54,620","67,070"
AL,27-1014,Special Effects Artists and Animators,70,"68,040","46,880","57,700","66,060","79,460","92,780"
AL,27-1021,Commercial and Industrial Designers,90,"69,750","50,230","62,640","74,090","80,460","87,360"
AL,27-1023,Floral Designers,550,"32,910","21,430","25,390","31,360","37,020","45,800"
AL,27-1024,Graphic Designers,"2,010","53,630","30,230","37,610","48,130","62,530","84,550"
AL,27-1025,Interior Designers,570,"62,790","36,680","46,060","57,290","75,770","99,900"
AL,27-1026,Merchandise Displayers and Window Trimmers,"3,090","40,130","28,500","31,420","34,920","47,170","58,900"
AL,27-2011,Actors,50,*,*,*,*,*,*
AL,27-2012,Producers and Directors,"1,030","73,690","40,020","44,860","63,920","82,990","103,840"
AL,27-2021,Athletes and Sports Competitors,370,"93,090","35,810","38,860","61,670","93,300",#
AL,27-2022,Coaches and Scouts,"2,580","61,180","21,710","26,890","41,150","61,580","101,340"
AL,27-2032,Choreographers,40,"39,430","33,430","35,470","37,580","39,490","46,780"
AL,27-2041,Music Directors and Composers,90,"43,270","26,240","27,410","32,370","49,580","59,040"
AL,27-2042,Musicians and Singers,220,*,*,*,*,*,*
AL,27-3011,Broadcast Announcers and Radio Disc Jockeys,360,"44,490","21,170","26,120","37,040","50,970","76,320"
AL,27-3023,"News Analysts, Reporters, and Journalists",510,"50,540","28,300","35,660","44,730","47,210","97,270"
AL,27-3031,Public Relations Specialists,"2,240","69,550","35,850","46,010","61,160","80,490","112,870"
AL,27-3041,Editors,590,"55,100","26,690","35,960","44,990","75,290","92,270"
AL,27-3042,Technical Writers,830,"84,970","56,260","68,080","80,570","100,950","116,440"
AL,27-3043,Writers and Authors,170,"64,040","36,150","40,540","57,120","75,450","108,510"
AL,27-3091,Interpreters and Translators,360,"49,680","30,610","39,270","45,760","58,830","74,840"
AL,27-3092,Court Reporters and Simultaneous Captioners,260,"57,070","35,990","38,490","54,280","78,540","78,540"
AL,27-4011,Audio and Video Technicians,400,"48,890","21,600","32,900","43,240","59,800","79,760"
AL,27-4012,Broadcast Technicians,260,"49,170","26,400","37,650","46,140","59,850","75,830"
AL,27-4014,Sound Engineering Technicians,50,"67,230","20,950","24,370","77,420","101,870","105,420"
AL,27-4021,Photographers,490,"43,360","23,760","30,140","35,140","53,640","71,340"
AL,27-4031,"Camera Operators, Television, Video, and Film",120,"58,000","37,340","40,600","45,180","60,270","114,420"
AL,27-4032,Film and Video Editors,150,"71,600","35,950","47,740","70,310","79,250","129,530"
AL,27-4099,"Media and Communication Equipment Workers, All Other",40,"100,840","58,100","72,740","91,890","120,290","139,800"
AL,29-0000,Healthcare Practitioners and Technical Occupations,"142,390","81,770","36,230","48,120","64,590","84,840","132,240"
AL,29-1011,Chiropractors,510,"80,630","39,990","49,480","74,210","103,150","131,910"
AL,29-1022,Oral and Maxillofacial Surgeons,110,"393,490","165,000",#,#,#,#
AL,29-1023,Orthodontists,130,"231,680","170,400","187,240","222,010",#,#
